voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
1091,Império do Brasil,,"Miranda, Joaquim de Santana de Garcia de",1829-08-??,Quilimane,Rio de Janeiro,Southeast Brazil,425,362,,,,,,63
1093,Incomparável,,"Alves, Estevão José",,Mozambique,Rio de Janeiro,Southeast Brazil,440,394,,,,,,46
1095,Astrea,,"Alves, Augusto Fernandes",,Mozambique,Rio de Janeiro,Southeast Brazil,864,605,,,,,,259
1104,Águia da América,,"Bastos, Manoel Rodrigues",,Lourenço Marques,Rio de Janeiro,Southeast Brazil,599,591,,,,,,8
1106,Aviso Oriental,,"Lima, José Pereira Ribeiro",,Mozambique,Rio de Janeiro,Southeast Brazil,238,209,,,,,,29
1107,Fluminense,,"Machado, Francisco Domingos",,Lourenço Marques,Rio de Janeiro,Southeast Brazil,678,600,,,,,,78
1108,S Antônio,,"Malho, José Caetano",,Inhambane,Rio de Janeiro,Southeast Brazil,288,283,,,,,,5
1109,Zéfiro,,"Maria, Luiz Jose",,Inhambane,Rio de Janeiro,Southeast Brazil,867,677,,,,,,190
1110,Dáfne,,"Moura, Jose Moreira de",,Sofala,Rio de Janeiro,Southeast Brazil,289,188,,,,,,101
1136,NS da Glória,,"Costa, Antônio Francisco da",,Mozambique,"Bahia, port unspecified",Bahia,330,299,,,,,,31
1182,Dois Irmãos,Brazil,"Santos, Gil Tomás dos",,Mozambique,"Pernambuco, port unspecified",Pernambuco,359,281,,,,,,78
1184,Elisa,Brazil,"Eurocuia, Francisco José da Silva",,Lourenço Marques,"Pernambuco, port unspecified",Pernambuco,534,523,,,,,,11
1227,Africano Oriental,Brazil,"Silva, Joaquim Alves da; Nobrega, M P da",,Mozambique,Rio de Janeiro,Southeast Brazil,377,261,,,,,,116
1228,Elisa,Brazil,"Ramalho, Antônio José de Oliveira; Silva, Joaquim Alves da",1830-03-02,Lourenço Marques,Rio de Janeiro,Southeast Brazil,519,428,,,,,,91
1229,D Estevão de Ataíde,Brazil,"Franco, Joaquim Antônio",,Mozambique,Rio de Janeiro,Southeast Brazil,386,376,,,,,,10
1292,Zéfiro,,"Lima, José Pedro Ribeiro",,Lourenço Marques,Rio de Janeiro,Southeast Brazil,455,400,,,,,,
1373,Socorro,Spain,"Peoly, Jorge",1834-08-05,Mozambique,Matanzas,Cuba,808,660,,,,,,
1445,Paquete Africano (a) César Augusto,Portugal,"Santos, José Maria dos",,Lourenço Marques,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,269,221,,,,,,
1449,Socorro,Spain,"Musard, Antonio",1835-06-21,Mozambique,Havana,Cuba,800,605,,,,,,195
1490,Egerida,Spain,Dornenech,,Mozambique,"Cuba, port unspecified",Cuba,490,444,,,,,,
1493,Socorro,Spain,"Musard, Antonio",1836-03-29,Mozambique,Havana,Cuba,800,700,,,,,,100
1515,Brilhante,Portugal,,,Quilimane,São Sebastião,Southeast Brazil,400,325,,,,,,75
1518,Brilhante,Portugal,,,Quilimane,Campos,Southeast Brazil,450,408,,,,,,
1527,Vinte Quatro de Julho,Portugal,"Terreira, J B",,Mozambique,São Sebastião,Southeast Brazil,800,500,,,,,,300
1551,Aguila Vengadora,Spain,"Zabala, Jose Ramon",1836-??-??,Mozambique,Havana,Cuba,411,369,,,,,,
1581,Adamastor,Portugal,,1836-??-??,Quilimane,Santos,Southeast Brazil,800,496,,,,,,304
1586,Leão,Portugal,,,Quilimane,Ilha de Marambaia,Southeast Brazil,855,572,,,,,,283
1587,Flor de Quilimane,Portugal,"Almeida, A J de",,Quilimane,Campos,Southeast Brazil,860,697,,,,,,163
1591,Ceres,Portugal,"Dias, M T",,Mozambique,Rio de Janeiro,Southeast Brazil,450,408,,,,,,
1596,Carolina,Portugal,"Pinheiro, F P",1836-10-??,Quilimane,Ubatuba,Southeast Brazil,1077,976,,,,,,
1609,Vênus,Portugal,"Moraes, F X",1836-10-??,Mozambique,Macaé,Southeast Brazil,812,664,,,,,,
1620,Tejo,Portugal,,1837-01-19,Quilimane,Campos,Southeast Brazil,462,419,,,,,,
1633,Maria Segunda (a) Socorro,Portugal,"Garcia, J",1837-02-04,Mozambique,"Cuba, port unspecified",Cuba,700,509,,,,,,191
1634,Palmira,Portugal,,1837-04-14,Mozambique,"Cuba, port unspecified",Cuba,650,589,,,,,,
1637,Carlota,Portugal,,,Mozambique,"Cuba, port unspecified",Cuba,500,453,,,,,,
1655,Novo Destino,Portugal,"Silva, C (Mate) da",,Quilimane,Macaé,Southeast Brazil,747,677,,,,,,
1661,Quatro de Março,Portugal,"Rêgo, J J do",1837-04-08,Quilimane,Rio de Janeiro province,Southeast Brazil,1050,950,,,,,,100
1662,Saudade,Portugal,"Pereira, A",,Mozambique,Taipu,Bahia,677,613,,,,,,
1665,Lusitano,Portugal,"Lima, A A",1837-05-30,Mozambique,Campos,Southeast Brazil,883,800,,,,,,
1668,Triunfante,Portugal,"Bastos, Joaquim Pereira de Oliveira",1837-06-22,Mozambique,Campos,Southeast Brazil,786,712,,,,,,
1670,Triunfo da Inveja,Portugal,"Brandão, M J",1837-07-09,Quilimane,Campos,Southeast Brazil,898,814,,,,,,
1678,Amélia,Portugal,"Flores, João Pereira",1837-06-26,Mozambique,"Cuba, port unspecified",Cuba,658,607,,,,,,
1693,Aquila Vengadera (a) Esplora,Spain,Gorronda,1837-06-13,Mozambique,"Cuba, port unspecified",Cuba,560,200,,,,,,360
1694,Irena,Spain,Ageo,1837-07-07,Mozambique,Havana,Cuba,650,619,,,,,,
1702,Tirso,Portugal,,,Madagascar,Trinidad de Cuba,Cuba,490,444,,,,,,
1725,Dois Amigos,Portugal,,1837-08-12,Quilimane,Baía de Sepetiba,Southeast Brazil,786,712,,,,,,
1727,Generoso,Portugal,,1837-06-11,Quilimane,Baía de Sepetiba,Southeast Brazil,883,800,,,,,,
1730,Fortuna da África,Portugal,,1837-08-28,Mozambique,Rio de Janeiro province,Southeast Brazil,759,712,,,,,,
1737,Carolina,Portugal,,1837-08-20,Quilimane,Campos,Southeast Brazil,1159,1050,,,,,,
1739,Adamastor,Portugal,,1837-07-23,Quilimane,São Sebastião,Southeast Brazil,482,445,,,,,,
1740,Resolução,Portugal,,1837-08-29,Mozambique,Ilha Grande,Southeast Brazil,773,700,,,,,,
1749,Cintra,Portugal,,,Mozambique,São Sebastião,Southeast Brazil,827,756,,,,,,
1757,Jove,Portugal,,,Quilimane,Campos,Southeast Brazil,483,432,,,,,,
1761,Providência,Portugal,,,Mozambique,Ilha Grande,Southeast Brazil,472,422,,,,,,
1762,Comodoro,Portugal,,1837-12-21,Quilimane,Taipu,Bahia,425,385,,,,,,
1781,Amália (a) Caballo Marino,Portugal,Miquete,1838-06-16,Mozambique,Mariel,Cuba,710,510,,,,,,200
1783,Vênus (a) Duquesa de Bragança,Portugal,Caelet,1838-08-23,Mozambique,Havana,Cuba,1120,870,,,,,,250
1794,Socorro (a) D Maria Segunda,Brazil,"Batalha, A",1838-08-18,Mozambique,Havana,Cuba,820,570,,,,,,250
1814,Novo Destino,Portugal,,,Quilimane,Campos,Southeast Brazil,787,713,,,,,,
1819,Ganges,Brazil,,,Quilimane,Ponta Negro,Southeast Brazil,796,721,37.0%,,55.0%,8.0%,63.0%,
1827,Generoso Feliz,Portugal,,,Quilimane,Ilha Grande,Southeast Brazil,800,725,,,,,,
1835,Fortuna,Portugal,,,Quilimane,Campos,Southeast Brazil,664,602,,,,,,
1836,Triunfo da Inveja,Portugal,,,Quilimane,Rio de Janeiro,Southeast Brazil,795,720,,,,,,
1837,Quatro de Março,Portugal,,,Quilimane,Ponta Negro,Southeast Brazil,883,800,,,,,,
1847,Fortuna da África,,,,Mozambique,Campos,Southeast Brazil,475,430,,,,,,
1853,Macsismo,Portugal,Silva,,Mozambique,"Cuba, port unspecified",Cuba,400,360,,,,,,
1855,Trindade de Luanda (a) Triunfo de Luanda,Portugal,"Campos; Ribeiro, Antônio Luís",,Mozambique,"Cuba, port unspecified",Cuba,490,444,,,,,,
1871,Ganges,Brazil,"Costa, J R",,Quilimane,Rio de Janeiro,Southeast Brazil,463,419,38.0%,,53.0%,9.0%,62.0%,
1881,Silêncio,Portugal,,,Inhambane,Campos,Southeast Brazil,482,437,,,,,,
1883,Esperança,Portugal,,1838-08-18,Mozambique,Ilha Grande,Southeast Brazil,806,730,,,,,,
1885,Aventureiro,Portugal,,,Mozambique,Macaé,Southeast Brazil,754,683,,,,,,
1888,D Manoel de Portugal,Portugal,,,Quilimane,Campos,Southeast Brazil,788,714,,,,,,
1890,Resolução,Portugal,,1838-09-06,Mozambique,Paranaguá,Southeast Brazil,831,753,,,,,,
1898,Doze de Outubro,Portugal,,,Mozambique,Rio de Janeiro,Southeast Brazil,452,403,,,,,,
1899,Carolina,Portugal,,,Quilimane,Paranaguá,Southeast Brazil,744,698,,,,,,46
1903,Amizade Constante,Portugal,"Regis, José Maria",1838-10-03,Quilimane,Ilha Grande,Southeast Brazil,442,400,,,,,,
1911,Constância,Portugal,,,Quilimane,Campos,Southeast Brazil,681,617,,,,,,
1913,Rosa,Portugal,,,Mozambique,Campos,Southeast Brazil,673,610,,,,,,
1915,Adamastor,Portugal,,,Quilimane,Baía de Sepetiba,Southeast Brazil,634,574,,,,,,
1917,Comodoro,Portugal,"Rocha, Antônio Batista da",,Mozambique,Rio de Janeiro,Southeast Brazil,773,700,,,,,,
1920,Amélia,Portugal,,,Mozambique,Cananéia,Southeast Brazil,662,600,,,,,,
1930,Vinte e Quatro de Julho,Portugal,"Rodrigues, A J",,Mozambique,"Pernambuco, port unspecified",Pernambuco,490,444,,,,,,
1937,Amália,Portugal,Costa,1839-05-07,Mozambique,"Cuba, port unspecified",Cuba,1040,840,,,,,,200
1941,Maria Segunda (a) Socorro,Portugal,Figueira,1839-06-05,Mozambique,"Cuba, port unspecified",Cuba,660,580,,,,,,
1943,Vênus (a) Duquesa de Bragança,Portugal,Moreno,1839-06-17,Mozambique,"Cuba, port unspecified",Cuba,795,720,,,,,,
1948,D João de Castro,Brazil,"Serpa, Vicente de Freitas",1839-03-??,Mozambique,Ilha de Marambaia,Southeast Brazil,497,450,,,,,,
1949,Novo Destino,Portugal,"Costa, J A da",1839-03-05,Quilimane,Campos,Southeast Brazil,662,600,,,,,,
1950,Generoso Feliz,Portugal,"Nunes, J J",1839-03-24,Quilimane,Campos,Southeast Brazil,424,384,,,,,,
1951,Rosalina,Portugal,"Carneiro, M J",1839-04-??,Quilimane,Rio de Janeiro,Southeast Brazil,411,369,,,,,,
1957,Quatro de Março,Portugal,"Pereira, F",1839-04-13,Quilimane,Mangaratiba,Southeast Brazil,607,550,,,,,,
1959,Fortuna da África,Portugal,"Passagem, J A",1839-04-??,Quilimane,Macaé,Southeast Brazil,474,429,,,,,,
1966,Ânimo Grande,Portugal,"Silveira, F da",1839-04-??,Quilimane,Campos,Southeast Brazil,651,590,,,,,,
1985,Constante,,,,Quilimane,Ilha Grande,Southeast Brazil,828,750,,,,,,
1995,Rio Zua,,,,Quilimane,Ilha Grande,Southeast Brazil,445,400,,,,,,
1996,Leopoldina,,,,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,662,600,,,,,,
2002,Cingapura,,,,Mozambique,Rio de Janeiro province,Southeast Brazil,662,600,,,,,,
2003,Sumar,,,,Mozambique,São Sebastião,Southeast Brazil,442,400,,,,,,
2005,Saudade,,,,Quilimane,São Sebastião,Southeast Brazil,662,600,,,,,,
2039,Resolução,Portugal,,1839-08-11,Quilimane,Ilha de Marambaia,Southeast Brazil,465,421,,,,,,
2040,Dois Irmãos,Portugal,"Abreu, F F de",1839-07-21,Quilimane,Rio de Janeiro,Southeast Brazil,640,580,,,,,,
2047,Leopoldina,Portugal,"Chaves, A R",,Quilimane,Rio de Janeiro,Southeast Brazil,618,560,,,,,,
2056,Vinte e Quatro de Julho,Brazil,"Viana, A P",,Mozambique,Catuamo and Maria Farinha,Pernambuco,517,468,,,,,,
2057,Paquete da Madeira,Portugal,"Bastos, J",,Mozambique,Ilha de Itamaric ,Pernambuco,298,268,,,,,,
2077,Vênus (a) Duquesa de Bragança,Brazil,"Barbosa, José",,Mozambique,Mariel,Cuba,791,711,,,,,,
2099,Asseiceira,Brazil,"Melão, A",,Quilimane,Rio de Janeiro,Southeast Brazil,332,332,26.0%,8.0%,51.0%,16.0%,67.0%,
2101,Sociedade,Portugal,,,Quilimane,São Sebastião,Southeast Brazil,497,450,,,,,,
2116,D Manoel de Portugal,Portugal,,1839-05-??,Quilimane,Rio de Janeiro province,Southeast Brazil,883,800,,,,,,
2118,Fortuna de África,,,,Quilimane,São Sebastião,Southeast Brazil,672,630,,,,,,
2131,Ânimo Grande,Portugal,,,Quilimane,São Sebastião,Southeast Brazil,662,600,,,,,,
2132,Quatro de Março,Portugal,,,Quilimane,São Sebastião,Southeast Brazil,773,700,,,,,,
2133,Saudade,,,,Quilimane,São Sebastião,Southeast Brazil,662,600,,,,,,
2134,Esperança,,,,Quilimane,Campos,Southeast Brazil,445,400,,,,,,
2136,Carolina,,,,Quilimane,São Sebastião,Southeast Brazil,706,640,,,,,,
2138,Generoso,,,,Quilimane,São Sebastião,Southeast Brazil,552,500,,,,,,
2139,Carolina,,,1839-11-??,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,662,600,,,,,,
2184,Esperança,Brazil,,,Quilimane,Campos,Southeast Brazil,504,450,,,,,,
2193,S José,Brazil,"Ferreira, Policarpo Luís Gonçalves",,Mozambique,"Pernambuco, port unspecified",Pernambuco,378,340,,,,,,
2199,Paquete da Madeira,Brazil,"Rodrigues, A J",,Mozambique,"Pernambuco, port unspecified",Pernambuco,177,159,,,,,,
2207,Carolina,,,,Quilimane,São Sebastião,Southeast Brazil,662,600,,,,,,
2237,Despique,,,,Quilimane,Rio de Janeiro province,Southeast Brazil,618,560,,,,,,
2245,Baleeira,,,,Quilimane,São Sebastião,Southeast Brazil,910,800,,,,,,
2246,Tejo,Portugal,,,Quilimane,Santos,Southeast Brazil,684,620,,,,,,
2257,Vencedora (a) Tartaruga,,"Coimbra, Manoel José",,Quilimane,Rio de Janeiro,Southeast Brazil,460,338,,,,,,122
2283,Despique,,,,Quilimane,Santos,Southeast Brazil,662,600,,,,,,
2292,Júlia,,,,Quilimane,Campos,Southeast Brazil,722,654,,,,,,
2310,Nova Granada,,,,Quilimane,São Sebastião,Southeast Brazil,609,545,,,,,,
2535,Paquete da Madeira,Portugal,,,Mozambique,,,200,164,,,,,,
2754,Chasseur,,"Thébaud, François",1824-01-05,Cape of Good Hope,"Puerto Rico, port unspecified",Puerto Rico,515,421,,,,,,
2769,Orphee,France,Jacques,1824-02-24,Madagascar,Santiago de Cuba,Cuba,511,418,,,,,,
2777,Hersilie,France,Anglade,1825-05-04,Madagascar,,,14,12,,,,,,
2808,Satyre,France,"Soret, Pierre",1823-03-01,Cape of Good Hope,"Martinique, port unspecified",Martinique,273,250,,,,,,
3072,Incompreensível,Portugal,"Castro, Luís Antônio de Carvalho e",1836-04-13,Mozambique,Freetown,Sierra Leone,785,596,34.0%,8.0%,46.0%,12.0%,58.0%,189
3125,Tejo,Portugal,,1840-11-??,Quilimane,Rio de Janeiro,Southeast Brazil,90,84,,,,,,
3143,NS da Conceição de Maria,Portugal,"Brito, João de Souza",,Quilimane,St. Helena,West Central Africa and St. Helena,550,440,32.0%,5.0%,47.0%,16.0%,63.0%,110
3151,Amizade Constante,,"Lopes, Antônio da Rocha",1839-08-??,Quilimane,Cape of Good Hope,Southeast Africa and Indian Ocean islands,620,477,,,,,,143
3152,Escorpião,Portugal,"Brito, João José de Souza",,Quilimane,Cape of Good Hope,Southeast Africa and Indian Ocean islands,716,695,,,,,,21
3161,José,Portugal,,,Quilimane,Mauritius (Ile de France),Southeast Africa and Indian Ocean islands,350,255,,,,,,85
3192,Progresso,,"Chaves, Antônio Rodrigues",,Quilimane,Cape of Good Hope,Southeast Africa and Indian Ocean islands,447,270,42.0%,10.0%,48.0%,,48.0%,177
3286,Alert,Spain,,,Mozambique,,,617,542,,,,,,
3287,Drogenese,,,,Mozambique,,,490,444,,,,,,
3293,Panção (a) Pocha,,"Nascimento, Anselmo José de",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,18,18,,,,,,
3294,Ana Feliz,,"Sá, Caetano Piedade de",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,56,56,,,,,,
3329,Seis de Fevereiro,,"Mendonça, Francisco de Assis",,Quilimane,Rio de Janeiro,Southeast Brazil,349,339,,,,,,10
3330,Nove de Janeiro,,"Lontra, Rafael Inácio da Fonseca",,Mozambique,Rio de Janeiro,Southeast Brazil,563,552,,,,,,11
3334,Vulcano,,"Melo, João José de Azevedo e",,Mozambique,Rio de Janeiro,Southeast Brazil,562,546,,,,,,16
3335,Mariana,,"Pereira, Francisco Manoel",,Quilimane,Rio de Janeiro,Southeast Brazil,523,480,,,,,,43
3337,Minerva,,"Braga, José Ribeiro da Castro",,Quilimane,Rio de Janeiro,Southeast Brazil,458,410,,,,,,48
3339,Quatro de Abril,,"Moreira, José Lopes da Costa",,Mozambique,Rio de Janeiro,Southeast Brazil,807,787,,,,,,20
3352,Conde dos Arcos,,"Fontes, João Joaquim de Souza",,Mozambique,Rio de Janeiro,Southeast Brazil,621,581,,,,,,40
3353,Trajano,,"Viana, João; Franco, Joaquim Antônio",,Quilimane,Rio de Janeiro,Southeast Brazil,428,298,,,,,,130
3381,Indústria,,"Pedrosa, Mário de Carvalho; Castro, João Guilherme de",,Mozambique,Rio de Janeiro,Southeast Brazil,556,543,,,,,,13
3385,Africano Constitucional,,"Monteiro, Alexandre Correa Cardoso",1826-04-25,Quilimane,Rio de Janeiro,Southeast Brazil,665,627,,,,,,38
3389,Zéfiro,,"Mendonça, Antônio Maurício de",1827-??-??,Mozambique,Rio de Janeiro,Southeast Brazil,591,495,,,,,,96
3408,Duquesa,Brazil,,,Quilimane,Santos,Southeast Brazil,673,610,,,,,,
3425,Gommse,Brazil,,,Lourenço Marques,Mangaratiba,Southeast Brazil,442,400,,,,,,
3433,Kentucky,U.S.A.,Douglas; Paulo,1844-02-20,Sofala,Cabo Frio,Southeast Brazil,543,450,,,,,,
3514,Ganaflite,Brazil,,,Lourenço Marques,Cabo Frio,Southeast Brazil,419,380,,,,,,
3526,Restaurador,Brazil,,,Mozambique,Cabo Frio,Southeast Brazil,422,382,,,,,,
3542,Kentucky,Brazil,,,Quilimane,Cabo Frio,Southeast Brazil,602,545,,,,,,
3842,Lúcifer,,,,Quilimane,Rio de Janeiro province,Southeast Brazil,430,390,,,,,,
3843,Idelmunda (a) Anônima,Brazil,,,Quilimane,Rio de Janeiro province,Southeast Brazil,807,731,,,,,,
3914,Ventura,Brazil,,,Quilimane,Cabo Frio,Southeast Brazil,630,400,,,,,,230
3915,Adamastor,Brazil,,,Quilimane,Rio de Janeiro province,Southeast Brazil,335,300,,,,,,
3916,Aventureiro,Brazil,Madalina,,Quilimane,Rio de Janeiro province,Southeast Brazil,72,65,,,,,,
3927,Josefina,Brazil,"Silva, José Lopes da",,Benguela,Cape of Good Hope,Southeast Africa and Indian Ocean islands,650,574,,,,,,76
3928,Henriqueta,,,,Benguela,Cape of Good Hope,Southeast Africa and Indian Ocean islands,325,273,,,,,,52
3930,Furão,Brazil,,,Benguela,Cape of Good Hope,Southeast Africa and Indian Ocean islands,247,221,,,,,,
3935, ,Brazil,"Menezes, Rufino José de",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,7,5,,,,,,2
4154,Camargo,U.S.A.,,1852-04-11,Quilimane,Rio de Janeiro province,Southeast Brazil,550,500,,,,,,50
4162, ,Spain,"Capo, Antônio",1852-11-??,Mozambique,Cabanas,Cuba,1350,1150,,,,,,200
4166,Lady Eclipse (a) Suffolk (a) M,U.S.A.,"Vinas, Eugênio",1852-11-20,Mozambique,"Cuba, port unspecified",Cuba,1487,1283,,,,,,
4266,Minnetonka,U.S.A.,,1857-04-05,Mozambique,"Cuba, port unspecified",Cuba,970,610,,,,,,360
4313, ,U.S.A.,,,Mozambique,Cardenas,Cuba,1068,70,,,,,,998
4330,Eloísa,,"Vinas, Eugênio",1859-04-08,Mozambique,Cardenas,Cuba,833,750,,,,,,
4430,Brazil,Spain,"Viñalls, Eugenio",1850-08-??,Mozambique,Cardenas,Cuba,744,670,,,,,,
4435,Brazil,Spain,,1851-04-??,Mozambique,Cardenas,Cuba,741,617,,,,,,
4446,Rapid (a) Emperatriz,,,1851-07-??,Inhambane,Cardenas,Cuba,1000,840,,,,,,160
4620,Hanibal,U.S.A.,,,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,811,700,,,,,,
4623,Rivoad (a) Revoma,,,,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,489,400,,,,,,
4624,Flor do Douro,,,,Ibo,Maricá,Southeast Brazil,553,499,,,,,,
4634,S Cruz,,,,Quilimane,"Rio de Janeiro, Sao Paulo, Santa Catarina",Southeast Brazil,856,700,,,,,,
4640,Edelmando,,,,Ibo,Ilha de Marambaia,Southeast Brazil,683,559,,,,,,
4657,Felicidade,,,,"West Central Africa and St. Helena, port unspecified",Cape of Good Hope,Southeast Africa and Indian Ocean islands,317,315,,,,,,2
4685, ,,,,Benguela,Cape of Good Hope,Southeast Africa and Indian Ocean islands,337,250,16.0%,15.0%,36.0%,34.0%,69.0%,87
4882,Manuela (a) Sunny South,,,,Quirimba,Ile de France,Southeast Africa and Indian Ocean islands,846,741,40.0%,5.0%,47.0%,9.0%,56.0%,105
4930,Tentativa,Brazil,,,Quilimane,Rio de Janeiro province,Southeast Brazil,700,485,,,,,,215
4949,Fame,U.S.A.,"Marks, Anthony",1847-02-27,Quilimane,Cabo Frio,Southeast Brazil,530,527,,,,,,3
5007,Astrea,Portugal,"Silveira, Valentim José da",1826-05-20,Mozambique,Rio de Janeiro,Southeast Brazil,590,558,,,,,,32
5011,Feliz Mariana,,,,Mozambique,Rio de Janeiro,Southeast Brazil,556,459,,,,,,97
5015,Dois Irmãos,Portugal,"Santos, Gil Tomás dos",1828-03-17,Lourenço Marques,Rio de Janeiro,Southeast Brazil,475,437,,,,,,38
5118, ,,,,"Africa., port unspecified",Cape of Good Hope,Southeast Africa and Indian Ocean islands,569,516,,,,,,
5122,Pomba,,,,"Africa., port unspecified",Cape of Good Hope,Southeast Africa and Indian Ocean islands,4,3,,,,,,
7001,Enéas,,,,Mozambique,Rio de Janeiro,Southeast Brazil,192,157,,,,,,35
7004,Feliz,,,,Mozambique,Rio de Janeiro,Southeast Brazil,332,260,,,,,,72
7014,Resolução,,,,Mozambique,Rio de Janeiro,Southeast Brazil,464,380,,,,,,84
7054,Enéas,Portugal,"Madruga, Luís Pererira; Rodrigues, Luís Pereira",1811-03-14,Inhambane,Rio de Janeiro,Southeast Brazil,172,136,,,,,,36
7055,Resolução,Portugal,"Souza, Luís Inácio de; Rocha, Antonio Jose da",,Mozambique,Rio de Janeiro,Southeast Brazil,469,350,,,,,,119
7056,Feliz Dias (a) Pobrezinhos,Portugal,"Almeida, Vitorino da Luz e",,Mozambique,Rio de Janeiro,Southeast Brazil,355,235,,,,,,120
7093,Resolução,,"Souza, Luís Inácio de",1812-08-03,Mozambique,Rio de Janeiro,Southeast Brazil,330,306,,,,,,24
7094,Providente,,"Domingues, Jerônimo",,Quilimane,Rio de Janeiro,Southeast Brazil,277,260,,,,,,17
7095,Esgueira,Portugal,"Almeida, Antônio Felipe Germano de; Rodrigues, Jerônimo",1812-06-23,Mozambique,Rio de Janeiro,Southeast Brazil,440,238,,,,,,202
